Region,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Date
CanadaWest,7/6/1981,53.5,67.5,67.1,52.6,6-Jul
CanadaWest,7/7/1981,48.4,60.3,64.6,50.3,7-Jul
CanadaWest,7/8/1981,49.1,66,64.7,48.6,8-Jul
CanadaWest,7/9/1981,48.2,67.8,66.4,49,9-Jul
CanadaWest,7/10/1981,49.8,65.4,67.5,49.4,10-Jul
CanadaWest,7/11/1981,50.4,69.3,69.8,50.3,11-Jul
CanadaWest,7/12/1981,50.8,74.9,70.5,52.1,12-Jul
CanadaWest,7/13/1981,55.2,67.5,69.4,53.9,13-Jul
CanadaWest,7/14/1981,55.8,65.7,67.7,55.1,14-Jul
CanadaWest,7/15/1981,54.5,69.8,69.2,55.1,15-Jul
CanadaWest,7/16/1981,55.2,72.1,72,55.3,16-Jul
CanadaWest,7/17/1981,56.4,74.1,72.6,55.8,17-Jul
CanadaWest,7/18/1981,56,71.5,72.1,56.8,18-Jul
CanadaWest,7/19/1981,57.9,70.8,71.6,57.2,19-Jul
CanadaWest,7/20/1981,57.6,72.5,71.2,57,20-Jul
CanadaWest,7/21/1981,55.4,70.2,70.3,56.8,21-Jul
CanadaWest,7/22/1981,57.4,68.3,69.8,56.8,22-Jul
CanadaWest,7/23/1981,57.5,70.8,69.7,56.7,23-Jul
CanadaWest,7/24/1981,55.3,69.9,70.6,54.5,24-Jul
CanadaWest,7/25/1981,50.6,71.1,72.1,53.2,25-Jul
CanadaWest,7/26/1981,53.6,75.3,74.5,54.2,26-Jul
CanadaWest,7/27/1981,58.4,77.1,74,56.4,27-Jul
CanadaWest,7/28/1981,57.2,69.6,70.2,57.3,28-Jul
CanadaWest,7/29/1981,56.4,63.9,66.2,55.9,29-Jul
CanadaWest,7/30/1981,54.3,64.9,66.7,53.7,30-Jul
CanadaWest,7/31/1981,50.3,71.2,69.4,52.3,31-Jul
CanadaWest,8/1/1981,52.3,72.1,71.6,52.1,1-Aug
CanadaWest,8/2/1981,53.6,71.4,71.8,53.7,2-Aug
CanadaWest,8/3/1981,55.2,71.8,72.1,54.3,3-Aug
CanadaWest,8/4/1981,54,73.2,73.6,54.4,4-Aug
CanadaWest,8/5/1981,54.1,75.7,76.1,55.1,5-Aug
CanadaWest,8/6/1981,57,79.4,78.5,57.1,6-Aug
CanadaWest,8/7/1981,60,80.3,80.8,58.7,7-Aug
CanadaWest,8/8/1981,59.1,82.8,82.7,59.7,8-Aug
CanadaWest,8/9/1981,59.8,85,84.7,59.8,9-Aug
CanadaWest,8/10/1981,60.4,86.2,84.3,60.3,10-Aug
CanadaWest,8/11/1981,60.7,81.8,81.4,60.4,11-Aug
CanadaWest,8/12/1981,60.1,76.1,77,58.5,12-Aug
CanadaWest,8/13/1981,54.7,73.2,76.2,56.4,13-Aug
